,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.462,0.353,0.0,0.988,0.004,0.001,9104.0,9327.0,1.0
theta[25025],0.018,0.983,-1.77,1.894,0.008,0.008,15312.0,11878.0,1.0
theta[25017],-0.479,0.935,-2.125,1.387,0.009,0.007,12171.0,12490.0,1.0
theta[25005],0.031,0.95,-1.749,1.837,0.008,0.008,12695.0,10160.0,1.0
theta[25013],0.119,0.946,-1.655,1.876,0.008,0.007,15340.0,12430.0,1.0
theta[25009],0.096,0.919,-1.679,1.795,0.007,0.007,16080.0,12542.0,1.0
theta[25011],-0.225,0.986,-2.057,1.655,0.008,0.008,15842.0,11997.0,1.0
theta[25027],0.469,0.915,-1.247,2.208,0.009,0.007,11330.0,10711.0,1.0
theta[25015],-0.223,0.975,-2.044,1.613,0.008,0.008,15058.0,11717.0,1.0
theta[25001],0.184,0.999,-1.678,2.056,0.007,0.008,18515.0,11409.0,1.0
theta[25003],0.151,0.982,-1.664,2.006,0.008,0.008,16620.0,11331.0,1.0
theta[25023],-0.132,0.931,-1.876,1.638,0.008,0.007,12445.0,11172.0,1.0
theta[25021],-0.071,0.927,-1.807,1.7,0.007,0.007,16233.0,12100.0,1.0
