,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.451,0.352,0.0,0.986,0.004,0.001,8158.0,9185.0,1.0
theta[25025],0.01,0.992,-1.887,1.83,0.007,0.008,18621.0,12269.0,1.0
theta[25017],-0.557,0.928,-2.308,1.191,0.009,0.007,11084.0,10482.0,1.0
theta[25005],0.086,0.935,-1.652,1.9,0.008,0.007,14511.0,11787.0,1.0
theta[25013],0.157,0.953,-1.608,1.957,0.008,0.007,14662.0,11694.0,1.0
theta[25009],0.151,0.932,-1.635,1.909,0.008,0.008,14436.0,11772.0,1.0
theta[25011],-0.238,0.986,-2.12,1.616,0.008,0.008,15432.0,10647.0,1.0
theta[25027],0.449,0.908,-1.25,2.169,0.008,0.007,11473.0,11379.0,1.0
theta[25015],-0.229,0.971,-2.079,1.571,0.008,0.007,14917.0,12314.0,1.0
theta[25001],0.22,0.979,-1.628,2.044,0.008,0.008,16553.0,11949.0,1.0
theta[25003],0.179,0.962,-1.622,1.967,0.008,0.008,16215.0,11789.0,1.0
theta[25023],-0.225,0.926,-2.026,1.487,0.008,0.007,14638.0,12366.0,1.0
theta[25021],-0.043,0.937,-1.818,1.677,0.008,0.007,15017.0,12895.0,1.0
