,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.507,0.355,0.009,1.0,0.003,0.001,16884.0,11574.0,1.0
theta[25025],-0.028,0.989,-1.896,1.842,0.006,0.009,26502.0,11813.0,1.0
theta[25017],-0.164,0.974,-2.016,1.623,0.006,0.008,24220.0,12684.0,1.0
theta[25005],0.133,0.989,-1.7,2.042,0.006,0.008,24488.0,12293.0,1.0
theta[25013],0.165,0.972,-1.623,2.008,0.006,0.008,24963.0,12720.0,1.0
theta[25009],-0.003,0.991,-1.876,1.855,0.006,0.009,23995.0,11395.0,1.0
theta[25011],-0.203,0.967,-2.03,1.609,0.006,0.008,23160.0,12683.0,1.0
theta[25027],-0.001,0.979,-1.827,1.866,0.006,0.008,26195.0,12609.0,1.0
theta[25015],-0.014,0.985,-1.87,1.823,0.006,0.008,24788.0,12036.0,1.0
theta[25001],0.077,0.994,-1.785,1.932,0.006,0.009,26328.0,11970.0,1.0
theta[25003],0.022,0.965,-1.761,1.858,0.007,0.008,21668.0,12116.0,1.0
theta[25023],-0.076,0.987,-1.929,1.787,0.006,0.008,23537.0,11916.0,1.0
theta[25021],0.009,0.946,-1.775,1.771,0.006,0.008,22358.0,12092.0,1.0
