,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.389,0.248,0.0,0.805,0.002,0.001,9984.0,8150.0,1.0
alpha[1],0.349,0.243,0.0,0.778,0.002,0.001,11005.0,9004.0,1.0
alpha[2],0.262,0.212,0.0,0.666,0.002,0.002,15291.0,11666.0,1.0
theta[25025],-0.005,0.988,-1.887,1.783,0.008,0.008,16167.0,12054.0,1.0
theta[25017],-0.515,0.993,-2.255,1.457,0.009,0.008,13176.0,12389.0,1.0
theta[25005],-0.003,0.969,-1.849,1.798,0.008,0.008,15745.0,12044.0,1.0
theta[25013],0.092,0.977,-1.709,1.929,0.008,0.008,14290.0,10571.0,1.0
theta[25009],0.167,0.954,-1.679,1.919,0.007,0.007,16355.0,12476.0,1.0
theta[25011],-0.128,0.984,-2.016,1.665,0.008,0.007,16084.0,11775.0,1.0
theta[25027],0.311,0.942,-1.395,2.141,0.008,0.008,15138.0,12257.0,1.0
theta[25015],-0.126,0.982,-1.883,1.817,0.008,0.008,16920.0,12427.0,1.0
theta[25001],0.149,0.998,-1.723,2.016,0.008,0.008,16973.0,11825.0,1.0
theta[25003],0.128,0.982,-1.69,2.004,0.008,0.008,16319.0,12062.0,1.0
theta[25023],-0.227,0.984,-2.083,1.608,0.008,0.007,15174.0,12383.0,1.0
theta[25021],0.112,0.959,-1.638,1.962,0.007,0.007,17263.0,12325.0,1.0
