,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.351,0.219,0.0,0.733,0.005,0.002,1965.0,2448.0,1.01
theta[47153],0.428,0.874,-1.235,2.039,0.006,0.007,18531.0,11454.0,1.0
theta[47157],0.069,0.75,-1.357,1.447,0.006,0.006,16209.0,12345.0,1.0
theta[47077],0.401,0.861,-1.199,2.042,0.006,0.007,18433.0,11710.0,1.0
theta[47089],-0.334,0.772,-1.821,1.081,0.005,0.006,21614.0,11976.0,1.0
theta[47037],1.115,0.667,-0.174,2.342,0.006,0.005,13932.0,11986.0,1.0
theta[47135],-0.346,0.925,-2.1,1.342,0.007,0.008,16915.0,12159.0,1.0
theta[47121],-0.481,0.908,-2.174,1.23,0.007,0.007,18140.0,12635.0,1.0
theta[47075],0.061,0.9,-1.637,1.738,0.006,0.007,19646.0,11986.0,1.0
theta[47125],0.009,0.688,-1.239,1.358,0.006,0.006,12238.0,11916.0,1.0
theta[47061],-0.384,0.913,-2.145,1.269,0.007,0.007,18414.0,12318.0,1.0
theta[47029],0.629,0.794,-0.917,2.07,0.006,0.007,17334.0,12399.0,1.0
theta[47041],0.693,0.842,-0.923,2.24,0.006,0.007,19666.0,11978.0,1.0
theta[47101],-0.038,0.878,-1.7,1.59,0.006,0.007,18673.0,11810.0,1.0
theta[47131],-0.464,0.881,-2.035,1.26,0.007,0.007,16044.0,12223.0,1.0
theta[47167],0.215,0.808,-1.32,1.692,0.006,0.007,16723.0,12143.0,1.0
theta[47045],-0.664,0.882,-2.348,0.993,0.007,0.007,14761.0,11077.0,1.0
theta[47065],-0.313,0.619,-1.428,0.911,0.005,0.006,14323.0,10803.0,1.0
theta[47185],0.408,0.825,-1.144,1.955,0.006,0.007,21091.0,12747.0,1.0
theta[47163],0.983,0.66,-0.299,2.2,0.006,0.006,13528.0,10381.0,1.0
theta[47031],0.973,0.696,-0.334,2.245,0.005,0.006,22075.0,12268.0,1.0
theta[47047],-0.531,0.863,-2.168,1.102,0.007,0.007,16424.0,12439.0,1.0
theta[47067],-0.306,0.893,-1.977,1.384,0.007,0.007,18837.0,11429.0,1.0
theta[47073],-0.059,0.77,-1.524,1.359,0.005,0.007,21550.0,12413.0,1.0
theta[47091],-0.642,0.912,-2.371,1.037,0.007,0.007,17330.0,12174.0,1.0
theta[47103],-0.51,0.843,-2.09,1.078,0.006,0.008,18594.0,11900.0,1.0
theta[47111],0.321,0.858,-1.217,2.032,0.006,0.007,19130.0,12261.0,1.0
