,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.335,0.273,0.0,0.85,0.008,0.004,1112.0,2229.0,1.01
theta[47153],0.488,0.9,-1.222,2.14,0.005,0.008,27841.0,11743.0,1.0
theta[47157],-0.648,0.909,-2.401,0.981,0.01,0.007,8606.0,10026.0,1.0
theta[47077],0.184,0.858,-1.438,1.776,0.006,0.008,23602.0,11083.0,1.0
theta[47089],-0.311,0.794,-1.792,1.167,0.006,0.007,19290.0,12398.0,1.0
theta[47037],0.622,0.903,-1.099,2.267,0.007,0.007,17183.0,12926.0,1.0
theta[47135],-0.413,0.929,-2.152,1.311,0.006,0.008,26570.0,10873.0,1.0
theta[47121],-0.599,0.931,-2.311,1.198,0.007,0.009,19250.0,10568.0,1.0
theta[47075],0.245,0.928,-1.447,2.009,0.006,0.008,26534.0,11786.0,1.0
theta[47125],0.242,0.815,-1.327,1.739,0.008,0.006,11654.0,11956.0,1.0
theta[47061],-0.258,0.916,-1.945,1.494,0.005,0.008,28777.0,12064.0,1.0
theta[47029],0.463,0.821,-1.067,2.031,0.006,0.007,18379.0,11338.0,1.0
theta[47041],0.635,0.866,-0.964,2.301,0.006,0.008,19184.0,11001.0,1.0
theta[47101],0.072,0.902,-1.594,1.779,0.005,0.008,29300.0,11747.0,1.0
theta[47131],-0.467,0.911,-2.163,1.259,0.007,0.008,18616.0,10695.0,1.0
theta[47167],0.276,0.826,-1.212,1.894,0.006,0.008,20321.0,11732.0,1.0
theta[47045],-0.505,0.892,-2.177,1.138,0.007,0.008,16237.0,10944.0,1.0
theta[47065],-0.671,0.809,-2.084,0.959,0.007,0.007,12669.0,10084.0,1.0
theta[47185],0.339,0.85,-1.302,1.886,0.005,0.007,26657.0,11542.0,1.0
theta[47163],0.632,0.705,-0.704,1.965,0.007,0.006,11825.0,9667.0,1.0
theta[47031],0.767,0.758,-0.678,2.184,0.006,0.006,16231.0,10931.0,1.0
theta[47047],-0.372,0.89,-1.991,1.382,0.006,0.008,23049.0,10759.0,1.0
theta[47067],-0.149,0.908,-1.847,1.573,0.005,0.008,27802.0,11312.0,1.0
theta[47073],-0.339,0.793,-1.843,1.115,0.006,0.007,18722.0,10317.0,1.0
theta[47091],-0.479,0.928,-2.17,1.278,0.006,0.008,22671.0,11837.0,1.0
theta[47103],-0.609,0.873,-2.26,1.03,0.006,0.008,19988.0,10785.0,1.0
theta[47111],0.241,0.869,-1.384,1.875,0.006,0.007,24001.0,11980.0,1.0
theta[47127],-0.471,0.931,-2.137,1.369,0.006,0.009,22485.0,10920.0,1.0
theta[47147],-0.656,0.807,-2.176,0.85,0.006,0.006,16900.0,11987.0,1.0
theta[47051],-0.351,0.853,-1.918,1.28,0.006,0.008,19591.0,10829.0,1.0
theta[47009],0.414,0.92,-1.338,2.143,0.007,0.008,15645.0,11175.0,1.0
theta[47021],1.188,0.795,-0.259,2.716,0.008,0.008,9606.0,7707.0,1.0
