,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha[0],0.627,0.175,0.289,0.912,0.003,0.002,2576.0,3959.0,1.0
alpha[1],0.265,0.184,0.0,0.597,0.004,0.003,2239.0,3846.0,1.0
alpha[2],0.108,0.068,0.002,0.23,0.001,0.001,9028.0,9575.0,1.0
theta[47153],0.436,0.879,-1.217,2.088,0.005,0.008,31876.0,12034.0,1.0
theta[47157],-0.455,0.782,-1.936,1.011,0.006,0.006,15728.0,11548.0,1.0
theta[47077],0.304,0.858,-1.366,1.856,0.005,0.008,28205.0,10457.0,1.0
theta[47089],-0.277,0.782,-1.725,1.203,0.005,0.007,24036.0,11668.0,1.0
theta[47037],0.526,0.694,-0.795,1.836,0.006,0.005,11484.0,11273.0,1.0
theta[47135],-0.368,0.933,-2.216,1.314,0.006,0.008,27300.0,11741.0,1.0
theta[47121],-0.483,0.913,-2.214,1.206,0.005,0.008,27799.0,11258.0,1.0
theta[47075],0.291,0.943,-1.419,2.143,0.005,0.009,33784.0,10152.0,1.0
theta[47125],0.242,0.69,-1.062,1.554,0.007,0.005,11196.0,10872.0,1.0
theta[47061],-0.365,0.917,-2.123,1.328,0.005,0.008,30050.0,11737.0,1.0
theta[47029],0.572,0.798,-0.902,2.087,0.005,0.007,22978.0,11488.0,1.0
theta[47041],0.747,0.866,-0.936,2.302,0.005,0.008,32910.0,11314.0,1.0
theta[47101],0.019,0.898,-1.622,1.76,0.005,0.008,35280.0,11217.0,1.0
theta[47131],-0.504,0.893,-2.17,1.183,0.006,0.008,21170.0,11890.0,1.0
theta[47167],0.22,0.806,-1.301,1.742,0.006,0.007,19891.0,11445.0,1.0
theta[47045],-0.6,0.891,-2.237,1.101,0.006,0.007,20886.0,10735.0,1.0
theta[47065],-0.965,0.644,-2.165,0.263,0.006,0.005,10146.0,9961.0,1.0
theta[47185],0.437,0.853,-1.18,2.05,0.005,0.008,35039.0,10893.0,1.0
theta[47163],1.027,0.643,-0.157,2.262,0.006,0.005,10897.0,11715.0,1.0
theta[47031],1.005,0.705,-0.294,2.339,0.004,0.006,24683.0,12252.0,1.0
theta[47047],-0.388,0.891,-2.031,1.313,0.005,0.008,28260.0,10434.0,1.0
