,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u[51095],-0.304,0.467,-1.161,0.582,0.005,0.004,9334.0,9184.0,1.0
u[51167],0.277,0.724,-1.052,1.655,0.014,0.013,2947.0,3557.0,1.0
u[51173],0.143,0.731,-1.233,1.533,0.013,0.011,3275.0,3841.0,1.0
u[51540],0.335,0.727,-1.072,1.674,0.006,0.009,15867.0,8079.0,1.0
u[51031],-0.08,0.467,-0.944,0.827,0.005,0.005,8409.0,7216.0,1.0
u[51087],0.192,0.387,-0.536,0.925,0.005,0.004,6367.0,6998.0,1.0
u[51099],0.294,0.559,-0.711,1.392,0.007,0.005,6651.0,6369.0,1.0
u[51103],-0.892,1.099,-2.952,1.149,0.01,0.012,13323.0,7787.0,1.0
u[51105],-0.082,0.92,-1.877,1.604,0.016,0.013,3457.0,4062.0,1.0
u[51115],-0.375,0.752,-1.774,1.055,0.006,0.006,15012.0,10811.0,1.0
u[51119],-0.227,0.586,-1.406,0.79,0.005,0.005,11666.0,10757.0,1.0
u[51149],-0.088,0.469,-0.959,0.795,0.005,0.004,10642.0,10111.0,1.0
u[51169],0.175,0.798,-1.31,1.712,0.014,0.014,3152.0,3374.0,1.0
u[51177],0.75,0.439,-0.097,1.542,0.008,0.006,3357.0,3234.0,1.0
u[51011],-0.409,0.567,-1.444,0.7,0.006,0.005,8018.0,8364.0,1.0
u[51067],0.674,0.503,-0.268,1.621,0.006,0.006,7245.0,5789.0,1.0
u[51097],0.009,0.458,-0.824,0.906,0.005,0.004,8102.0,8985.0,1.0
u[51121],0.16,0.655,-1.061,1.417,0.008,0.008,7973.0,5803.0,1.0
u[51127],0.091,0.464,-0.78,0.966,0.005,0.004,8222.0,9601.0,1.0
u[51051],0.324,0.852,-1.329,1.882,0.015,0.014,3379.0,4474.0,1.0
u[51083],0.171,0.545,-0.823,1.236,0.005,0.004,11635.0,9827.0,1.0
u[51107],-0.467,0.569,-1.501,0.64,0.008,0.007,5890.0,5445.0,1.0
u[51153],-0.169,0.538,-1.158,0.882,0.008,0.006,5118.0,6876.0,1.0
u[51175],-0.307,0.652,-1.54,0.897,0.007,0.007,8201.0,7227.0,1.0
u[51033],0.418,0.454,-0.426,1.284,0.007,0.005,4513.0,4198.0,1.0
u[51073],0.051,0.524,-0.926,1.046,0.006,0.005,7607.0,7168.0,1.0
u[51141],0.153,0.663,-1.095,1.394,0.007,0.006,8511.0,7300.0,1.0
u[51145],-0.111,0.529,-1.105,0.899,0.004,0.004,14542.0,11620.0,1.0
u[51171],0.091,0.544,-0.956,1.085,0.005,0.005,10592.0,9837.0,1.0
u[51061],0.549,0.501,-0.396,1.486,0.009,0.007,3252.0,3810.0,1.0
u[51790],-0.397,0.837,-2.023,1.121,0.006,0.008,18286.0,8356.0,1.0
u[51065],0.496,0.574,-0.608,1.563,0.006,0.005,11016.0,7582.0,1.0
u[51007],-0.273,0.507,-1.208,0.709,0.005,0.004,11782.0,9863.0,1.0
u[51840],1.345,0.785,-0.162,2.802,0.01,0.014,7232.0,4017.0,1.0
u[51135],-0.313,0.529,-1.302,0.678,0.005,0.004,10228.0,9837.0,1.0
u[51036],-0.131,0.49,-1.059,0.778,0.005,0.004,11256.0,10263.0,1.0
u[51047],0.639,0.498,-0.307,1.555,0.008,0.006,4618.0,4369.0,1.0
u[51053],-0.184,0.452,-1.045,0.669,0.004,0.004,10462.0,8821.0,1.0
u[51137],0.385,0.452,-0.443,1.257,0.005,0.005,9130.0,6247.0,1.0
u[51079],0.128,0.499,-0.79,1.097,0.004,0.004,12529.0,9572.0,1.0
u[51085],0.544,0.439,-0.261,1.383,0.008,0.005,3263.0,3987.0,1.0
u[51111],-0.368,0.553,-1.415,0.666,0.006,0.004,7671.0,7616.0,1.0
u[51197],-0.217,0.74,-1.646,1.142,0.012,0.009,4189.0,4943.0,1.0
