,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.683,0.257,0.177,1.0,0.009,0.006,951.0,1152.0,1.0
theta[51095],-0.657,0.906,-2.37,1.052,0.008,0.009,13227.0,9814.0,1.0
theta[51167],-0.298,0.9,-1.954,1.462,0.005,0.009,30912.0,11074.0,1.0
theta[51173],-0.03,0.896,-1.752,1.628,0.005,0.009,36952.0,10606.0,1.0
theta[51540],0.242,0.897,-1.394,2.004,0.006,0.008,21620.0,11127.0,1.0
theta[51031],-0.183,0.87,-1.843,1.434,0.005,0.009,31762.0,11062.0,1.0
theta[51087],-0.165,0.72,-1.6,1.155,0.005,0.008,19530.0,10165.0,1.0
theta[51099],0.549,0.922,-1.148,2.367,0.007,0.008,16480.0,10427.0,1.0
theta[51103],-0.097,0.967,-1.878,1.726,0.005,0.009,33404.0,11621.0,1.0
theta[51105],-0.381,0.932,-2.098,1.393,0.006,0.009,21528.0,10146.0,1.0
theta[51115],-0.298,0.956,-2.154,1.466,0.006,0.009,25565.0,10212.0,1.0
theta[51119],-0.201,0.936,-1.997,1.535,0.005,0.009,30456.0,11370.0,1.0
theta[51149],-0.351,0.88,-1.982,1.32,0.006,0.008,25018.0,11509.0,1.0
theta[51169],0.101,0.899,-1.567,1.801,0.005,0.008,33586.0,11769.0,1.0
theta[51177],0.514,0.779,-1.024,1.871,0.01,0.008,6637.0,9361.0,1.0
theta[51011],-0.334,0.945,-2.137,1.369,0.006,0.009,22497.0,10164.0,1.0
theta[51067],0.912,0.884,-0.692,2.664,0.011,0.008,6797.0,8370.0,1.0
theta[51097],0.127,0.897,-1.527,1.834,0.005,0.009,33938.0,10334.0,1.0
theta[51121],-0.296,0.882,-2.002,1.317,0.006,0.008,23675.0,11425.0,1.0
theta[51127],0.122,0.915,-1.624,1.831,0.005,0.009,31835.0,11433.0,1.0
theta[51051],-0.311,0.922,-2.054,1.412,0.005,0.009,29962.0,10112.0,1.0
theta[51083],0.4,0.888,-1.288,2.063,0.006,0.009,22305.0,10316.0,1.0
theta[51107],-0.882,0.855,-2.424,0.806,0.01,0.009,7078.0,7777.0,1.0
theta[51153],-0.692,0.794,-2.187,0.815,0.008,0.009,10993.0,7741.0,1.0
theta[51175],0.544,0.914,-1.155,2.284,0.007,0.009,16800.0,9977.0,1.0
theta[51033],0.531,0.889,-1.131,2.175,0.008,0.008,13717.0,10802.0,1.0
theta[51073],0.79,0.911,-0.992,2.411,0.009,0.008,10281.0,9428.0,1.0
theta[51141],-0.156,0.91,-1.879,1.553,0.005,0.009,35098.0,10096.0,1.0
theta[51145],-0.444,0.95,-2.275,1.345,0.007,0.009,20520.0,10092.0,1.0
theta[51171],-0.099,0.889,-1.812,1.536,0.005,0.008,34538.0,11006.0,1.0
theta[51061],1.071,0.873,-0.609,2.666,0.011,0.009,7459.0,7630.0,1.0
theta[51790],-0.13,0.939,-1.87,1.62,0.005,0.008,32353.0,11482.0,1.0
theta[51065],0.557,0.92,-1.178,2.269,0.008,0.009,14778.0,8834.0,1.0
theta[51007],-0.296,0.951,-2.104,1.477,0.006,0.009,27809.0,10672.0,1.0
theta[51840],0.654,0.981,-1.267,2.367,0.014,0.008,5237.0,9732.0,1.0
