,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.77,0.22,0.352,1.0,0.006,0.005,1360.0,1856.0,1.0
theta[51095],-0.551,0.954,-2.265,1.327,0.008,0.008,14948.0,10491.0,1.0
theta[51167],-0.231,0.945,-1.957,1.609,0.005,0.009,31392.0,11458.0,1.0
theta[51173],-0.004,0.944,-1.786,1.754,0.005,0.009,40030.0,10583.0,1.0
theta[51540],0.257,0.953,-1.568,2.006,0.007,0.008,20490.0,12298.0,1.0
theta[51031],-0.081,0.906,-1.822,1.572,0.005,0.008,32536.0,12051.0,1.0
theta[51087],-0.396,0.871,-2.03,1.246,0.007,0.008,16254.0,10811.0,1.0
theta[51099],0.386,0.942,-1.345,2.225,0.007,0.009,20114.0,10118.0,1.0
theta[51103],-0.049,0.971,-1.884,1.789,0.005,0.009,35290.0,10406.0,1.0
theta[51105],-0.3,0.96,-2.103,1.506,0.006,0.009,22504.0,11281.0,1.0
theta[51115],-0.242,0.955,-2.022,1.517,0.006,0.009,27784.0,11569.0,1.0
theta[51119],-0.121,0.952,-1.896,1.679,0.005,0.009,34790.0,11382.0,1.0
theta[51149],-0.458,0.951,-2.317,1.249,0.007,0.008,17919.0,11018.0,1.0
theta[51169],-0.002,0.935,-1.741,1.757,0.005,0.009,36079.0,11301.0,1.0
theta[51177],0.442,0.863,-1.242,1.968,0.009,0.007,9459.0,10228.0,1.0
theta[51011],-0.255,0.948,-2.064,1.516,0.006,0.009,28714.0,11101.0,1.0
theta[51067],0.852,0.963,-1.048,2.558,0.011,0.008,7903.0,9865.0,1.0
theta[51097],0.075,0.946,-1.725,1.823,0.005,0.01,34885.0,11157.0,1.0
theta[51121],-0.157,0.918,-1.785,1.675,0.005,0.008,31513.0,10386.0,1.0
theta[51127],0.151,0.937,-1.635,1.908,0.005,0.009,35529.0,10338.0,1.0
theta[51051],-0.216,0.976,-2.014,1.614,0.005,0.01,31590.0,10331.0,1.0
theta[51083],0.294,0.936,-1.537,1.982,0.005,0.009,29656.0,9506.0,1.0
theta[51107],-0.233,0.922,-2.004,1.48,0.006,0.008,23876.0,11016.0,1.0
theta[51153],-0.252,0.87,-1.895,1.394,0.006,0.008,24965.0,12081.0,1.0
theta[51175],0.487,0.976,-1.31,2.344,0.008,0.01,15979.0,9076.0,1.0
theta[51033],0.41,0.945,-1.295,2.236,0.007,0.008,16143.0,11428.0,1.0
theta[51073],0.793,0.987,-1.092,2.618,0.011,0.008,8818.0,9957.0,1.0
theta[51141],-0.161,0.956,-2.003,1.592,0.005,0.009,37566.0,11571.0,1.0
theta[51145],-0.364,0.978,-2.235,1.434,0.007,0.009,19635.0,11589.0,1.0
theta[51171],-0.11,0.913,-1.874,1.559,0.005,0.009,32201.0,10543.0,1.0
theta[51061],0.64,0.923,-1.128,2.351,0.009,0.009,12126.0,10175.0,1.0
theta[51790],-0.129,0.954,-1.918,1.649,0.005,0.008,31723.0,12567.0,1.0
theta[51065],0.442,0.962,-1.321,2.307,0.008,0.009,15837.0,10112.0,1.0
theta[51007],-0.262,0.978,-2.131,1.529,0.007,0.01,21640.0,9814.0,1.0
theta[51840],0.474,0.979,-1.353,2.296,0.01,0.008,9597.0,10859.0,1.0
theta[51135],-0.072,0.969,-1.884,1.77,0.005,0.009,33317.0,11962.0,1.0
theta[51036],-0.222,0.951,-1.972,1.589,0.005,0.009,32541.0,10977.0,1.0
theta[51047],0.207,0.881,-1.445,1.878,0.006,0.008,19487.0,11341.0,1.0
theta[51053],-0.289,0.952,-2.085,1.494,0.006,0.009,26155.0,10932.0,1.0
theta[51137],0.111,0.898,-1.556,1.828,0.005,0.009,29529.0,11367.0,1.0
