,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u[51095],-0.268,0.474,-1.216,0.567,0.006,0.005,5410.0,5822.0,1.0
u[51167],0.083,0.738,-1.266,1.511,0.017,0.013,1982.0,2462.0,1.0
u[51173],-0.027,0.732,-1.434,1.318,0.015,0.011,2433.0,3154.0,1.0
u[51540],0.427,0.772,-1.049,1.881,0.008,0.007,9114.0,9238.0,1.0
u[51031],-0.062,0.486,-0.965,0.849,0.007,0.005,5053.0,6515.0,1.0
u[51087],0.155,0.419,-0.647,0.937,0.006,0.004,4533.0,6967.0,1.0
u[51099],0.428,0.574,-0.644,1.52,0.008,0.005,5861.0,7998.0,1.0
u[51103],-0.692,1.143,-2.84,1.493,0.012,0.011,8793.0,8786.0,1.0
u[51105],-0.268,0.947,-2.029,1.535,0.019,0.013,2635.0,4226.0,1.0
u[51115],-0.262,0.781,-1.78,1.155,0.009,0.006,8374.0,9655.0,1.0
u[51119],-0.121,0.596,-1.227,1.019,0.007,0.005,6666.0,8313.0,1.0
u[51149],-0.073,0.491,-0.989,0.864,0.007,0.004,5388.0,6920.0,1.0
u[51169],-0.022,0.806,-1.556,1.468,0.017,0.014,2212.0,2523.0,1.0
u[51177],0.803,0.439,-0.011,1.625,0.008,0.005,3350.0,4412.0,1.0
u[51011],-0.357,0.575,-1.424,0.757,0.007,0.005,6212.0,7686.0,1.0
u[51067],0.621,0.514,-0.4,1.54,0.008,0.006,4818.0,4372.0,1.0
u[51097],0.101,0.467,-0.817,0.939,0.007,0.004,4955.0,6723.0,1.0
u[51121],0.085,0.684,-1.17,1.416,0.009,0.007,5733.0,7027.0,1.0
u[51127],0.145,0.47,-0.72,1.045,0.006,0.004,5372.0,7891.0,1.0
u[51051],0.13,0.873,-1.46,1.802,0.018,0.013,2476.0,3333.0,1.0
u[51083],0.171,0.562,-0.859,1.257,0.007,0.005,6025.0,7821.0,1.0
u[51107],-0.387,0.589,-1.509,0.736,0.01,0.007,3735.0,4375.0,1.0
u[51153],-0.075,0.563,-1.096,1.032,0.009,0.006,3723.0,5920.0,1.0
u[51175],-0.333,0.678,-1.615,0.928,0.011,0.008,3870.0,5484.0,1.0
u[51033],0.489,0.456,-0.394,1.325,0.007,0.004,4357.0,5399.0,1.0
u[51073],0.085,0.537,-0.927,1.069,0.008,0.005,5147.0,6858.0,1.0
u[51141],0.131,0.667,-1.145,1.345,0.009,0.006,5887.0,8129.0,1.0
u[51145],-0.106,0.548,-1.083,0.978,0.006,0.004,7502.0,8056.0,1.0
u[51171],0.163,0.566,-0.928,1.213,0.008,0.006,4978.0,6143.0,1.0
u[51061],0.588,0.508,-0.368,1.547,0.009,0.006,3377.0,4191.0,1.0
u[51790],-0.318,0.885,-2.008,1.339,0.009,0.008,10843.0,9451.0,1.0
u[51065],0.513,0.592,-0.604,1.612,0.007,0.005,7796.0,8394.0,1.0
u[51007],-0.249,0.522,-1.255,0.71,0.007,0.004,6142.0,9072.0,1.0
u[51840],1.466,0.823,-0.092,3.038,0.01,0.01,6675.0,6040.0,1.0
u[51135],-0.298,0.545,-1.333,0.712,0.007,0.004,5748.0,7508.0,1.0
u[51036],-0.078,0.504,-0.986,0.891,0.006,0.004,6087.0,7860.0,1.0
u[51047],0.703,0.503,-0.246,1.653,0.008,0.005,4500.0,5515.0,1.0
u[51053],-0.176,0.47,-1.058,0.716,0.007,0.004,5188.0,6883.0,1.0
u[51137],0.429,0.463,-0.426,1.33,0.006,0.004,6367.0,7761.0,1.0
u[51079],0.175,0.52,-0.784,1.181,0.007,0.004,6433.0,8504.0,1.0
u[51085],0.544,0.44,-0.272,1.385,0.007,0.004,3594.0,5461.0,1.0
u[51111],-0.338,0.573,-1.379,0.783,0.008,0.005,5271.0,7253.0,1.0
u[51197],-0.294,0.742,-1.675,1.114,0.013,0.007,3520.0,5303.0,1.0
u[51550],-0.351,0.614,-1.553,0.764,0.013,0.009,2580.0,3460.0,1.0
u[51660],-0.799,0.879,-2.486,0.831,0.01,0.008,7598.0,6438.0,1.0
u[51003],-0.065,0.426,-0.863,0.736,0.006,0.004,4448.0,5531.0,1.0
u[51019],0.148,0.448,-0.666,1.02,0.006,0.005,5082.0,7355.0,1.0
u[51195],0.161,0.807,-1.374,1.679,0.018,0.015,2142.0,2490.0,1.0
u[51740],-0.221,0.666,-1.437,1.086,0.013,0.009,2806.0,3725.0,1.0
u[51810],-0.584,0.673,-1.919,0.655,0.012,0.009,3518.0,4641.0,1.0
u[51005],-0.347,0.675,-1.627,0.912,0.009,0.006,5756.0,7107.0,1.0
u[51640],-1.19,1.037,-3.168,0.707,0.017,0.01,3784.0,5041.0,1.0
u[51193],-0.317,0.698,-1.647,0.989,0.008,0.005,7526.0,8661.0,1.0
u[51133],-0.564,0.933,-2.326,1.216,0.01,0.008,8317.0,9286.0,1.0
u[51155],0.099,0.7,-1.187,1.446,0.01,0.007,4563.0,6754.0,1.0
u[51187],0.413,0.526,-0.567,1.416,0.008,0.006,4664.0,5697.0,1.0
u[51590],0.104,0.784,-1.398,1.559,0.008,0.008,8891.0,8418.0,1.0
u[51630],1.627,0.707,0.283,2.946,0.012,0.008,4038.0,4224.0,1.0
u[51017],-0.405,0.665,-1.626,0.873,0.008,0.006,6751.0,7539.0,1.0
u[51670],0.335,0.65,-0.906,1.542,0.008,0.006,7705.0,7494.0,1.0
u[51700],-0.252,0.573,-1.365,0.814,0.008,0.006,4760.0,7302.0,1.0
u[51069],0.4,0.583,-0.68,1.508,0.008,0.006,4817.0,5462.0,1.0
u[51680],-0.03,0.623,-1.219,1.144,0.008,0.007,6694.0,6356.0,1.0
u[51199],-0.436,0.537,-1.446,0.581,0.008,0.006,4927.0,5790.0,1.0
u[51690],0.54,0.8,-1.014,2.044,0.009,0.009,7337.0,7016.0,1.0
u[51125],-0.24,0.546,-1.322,0.737,0.006,0.004,9144.0,9459.0,1.0
u[51143],0.207,0.479,-0.678,1.113,0.007,0.005,5088.0,6976.0,1.0
