,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.801,0.207,0.401,1.0,0.004,0.004,2504.0,3324.0,1.0
theta[54023],0.591,1.003,-1.273,2.473,0.008,0.008,15091.0,11798.0,1.0
theta[54027],0.354,0.957,-1.539,2.066,0.007,0.008,18187.0,11424.0,1.0
theta[54009],0.163,0.962,-1.565,2.03,0.006,0.008,26598.0,11942.0,1.0
theta[54031],-0.025,0.965,-1.814,1.803,0.006,0.008,29359.0,12400.0,1.0
theta[54049],-0.475,0.959,-2.272,1.345,0.008,0.008,16043.0,12211.0,1.0
theta[54059],-0.297,0.952,-2.087,1.458,0.006,0.009,25110.0,10843.0,1.0
theta[54029],-0.17,0.967,-1.983,1.646,0.006,0.008,26376.0,11872.0,1.0
theta[54051],-0.236,0.961,-2.07,1.558,0.006,0.008,26303.0,11217.0,1.0
theta[54067],-0.318,0.961,-2.175,1.432,0.006,0.009,26227.0,11128.0,1.0
theta[54093],-0.183,0.982,-2.029,1.638,0.006,0.009,30026.0,11741.0,1.0
theta[54095],0.104,0.963,-1.716,1.899,0.005,0.009,34144.0,11382.0,1.0
theta[54087],-0.045,0.948,-1.821,1.739,0.006,0.009,29381.0,10635.0,1.0
theta[54091],-0.055,0.96,-1.874,1.739,0.006,0.008,27293.0,12083.0,1.0
theta[54107],0.075,0.9,-1.647,1.734,0.007,0.008,18711.0,11950.0,1.0
theta[54021],-0.278,0.984,-2.084,1.597,0.006,0.008,22987.0,11862.0,1.0
theta[54053],-0.036,0.924,-1.843,1.646,0.005,0.008,28528.0,11728.0,1.0
theta[54063],-0.042,0.96,-1.812,1.792,0.005,0.01,34879.0,11204.0,1.0
theta[54073],-0.132,0.959,-1.928,1.678,0.005,0.009,32774.0,11509.0,1.0
theta[54011],0.816,1.026,-1.029,2.803,0.011,0.008,7919.0,10211.0,1.0
theta[54037],-0.19,0.963,-1.98,1.617,0.006,0.009,22106.0,11829.0,1.0
theta[54045],-0.247,0.919,-1.984,1.455,0.006,0.008,24620.0,12703.0,1.0
theta[54071],0.004,0.956,-1.77,1.808,0.005,0.009,33118.0,11168.0,1.0
theta[54033],0.303,0.911,-1.359,2.063,0.006,0.008,21345.0,12246.0,1.0
theta[54069],0.281,0.96,-1.556,2.05,0.007,0.008,20712.0,11718.0,1.0
theta[54013],0.013,0.961,-1.763,1.851,0.005,0.009,32060.0,11283.0,1.0
theta[54065],0.265,0.957,-1.552,2.047,0.007,0.008,19464.0,11636.0,1.0
theta[54081],0.399,0.893,-1.323,2.03,0.008,0.007,13877.0,12241.0,1.0
theta[54079],-0.192,0.918,-1.925,1.498,0.006,0.008,22790.0,12114.0,1.0
theta[54001],-0.191,0.969,-2.076,1.586,0.006,0.009,22527.0,10983.0,1.0
theta[54047],-0.015,0.944,-1.828,1.705,0.005,0.008,30165.0,12600.0,1.0
theta[54099],0.196,0.909,-1.531,1.856,0.007,0.008,18579.0,12004.0,1.0
theta[54035],-0.366,0.951,-2.13,1.446,0.007,0.009,21187.0,10263.0,1.0
theta[54089],-0.367,0.968,-2.178,1.476,0.007,0.009,21014.0,11119.0,1.0
theta[54025],-0.083,0.916,-1.798,1.652,0.006,0.008,25831.0,11890.0,1.0
theta[54057],-0.149,0.942,-1.982,1.573,0.006,0.008,27217.0,11903.0,1.0
theta[54041],-0.025,0.947,-1.835,1.749,0.005,0.009,34309.0,11062.0,1.0
theta[54075],-0.197,0.969,-1.95,1.714,0.006,0.009,24934.0,11019.0,1.0
theta[54103],-0.003,0.969,-1.776,1.867,0.005,0.009,31024.0,12276.0,1.0
theta[54105],-0.184,0.982,-2.038,1.662,0.006,0.009,29486.0,11958.0,1.0
theta[54015],0.166,0.971,-1.653,2.006,0.006,0.009,27222.0,11108.0,1.0
theta[54061],0.161,0.942,-1.558,1.989,0.006,0.008,25393.0,12239.0,1.0
theta[54039],0.564,0.883,-1.098,2.198,0.008,0.007,11831.0,11500.0,1.0
theta[54077],-0.409,0.96,-2.158,1.441,0.008,0.008,16028.0,11429.0,1.0
theta[54085],-0.18,0.976,-1.952,1.704,0.006,0.009,27275.0,11428.0,1.0
theta[54043],-0.165,0.929,-1.902,1.618,0.005,0.009,37143.0,11635.0,1.0
theta[54007],0.204,0.949,-1.585,2.015,0.006,0.008,24968.0,11860.0,1.0
theta[54005],0.622,0.989,-1.227,2.481,0.009,0.009,12902.0,10965.0,1.0
theta[54109],0.169,0.941,-1.599,1.918,0.006,0.009,26896.0,11520.0,1.0
theta[54083],-0.463,0.983,-2.38,1.325,0.008,0.008,16671.0,10760.0,1.0
theta[54055],0.201,0.9,-1.617,1.777,0.007,0.008,18933.0,11712.0,1.0
theta[54097],-0.105,0.965,-1.874,1.744,0.006,0.009,29236.0,11037.0,1.0
theta[54003],0.131,0.942,-1.641,1.903,0.006,0.009,24226.0,11407.0,1.0
theta[54019],-0.018,0.895,-1.68,1.708,0.006,0.007,25821.0,12583.0,1.0
