,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
rho,0.824,0.194,0.438,1.0,0.004,0.003,2818.0,4683.0,1.0
theta[54023],0.465,1.014,-1.42,2.412,0.007,0.009,19534.0,11619.0,1.0
theta[54027],0.331,0.956,-1.496,2.081,0.007,0.008,19809.0,11779.0,1.0
theta[54009],0.276,0.966,-1.516,2.094,0.007,0.008,18193.0,10555.0,1.0
theta[54031],-0.052,0.981,-1.9,1.774,0.006,0.009,30480.0,11723.0,1.0
theta[54049],-0.594,1.02,-2.469,1.327,0.009,0.008,12537.0,11832.0,1.0
theta[54059],-0.341,0.956,-2.102,1.49,0.006,0.008,25504.0,11545.0,1.0
theta[54029],-0.162,0.972,-1.991,1.65,0.006,0.008,26677.0,12324.0,1.0
theta[54051],-0.161,0.96,-1.898,1.736,0.006,0.008,26327.0,12159.0,1.0
theta[54067],-0.338,0.976,-2.129,1.533,0.007,0.009,17681.0,11278.0,1.0
theta[54093],-0.08,0.985,-1.87,1.81,0.006,0.009,29030.0,11685.0,1.0
theta[54095],0.123,0.986,-1.702,1.974,0.006,0.009,29568.0,11481.0,1.0
theta[54087],0.014,0.945,-1.767,1.759,0.005,0.009,30254.0,12271.0,1.0
theta[54091],-0.002,0.996,-1.882,1.871,0.006,0.009,32081.0,11506.0,1.0
theta[54107],0.071,0.92,-1.638,1.836,0.006,0.008,22806.0,12730.0,1.0
theta[54021],-0.147,0.991,-1.977,1.744,0.005,0.009,32625.0,11276.0,1.0
theta[54053],-0.033,0.954,-1.864,1.741,0.006,0.009,27820.0,11438.0,1.0
theta[54063],-0.046,0.982,-1.87,1.819,0.006,0.008,27420.0,11715.0,1.0
theta[54073],-0.085,0.982,-1.863,1.82,0.006,0.009,29759.0,11612.0,1.0
theta[54011],0.551,0.986,-1.377,2.329,0.009,0.008,12881.0,11915.0,1.0
theta[54037],-0.219,0.969,-2.099,1.546,0.007,0.008,21786.0,12094.0,1.0
theta[54045],-0.095,0.925,-1.841,1.644,0.006,0.008,23165.0,12687.0,1.0
theta[54071],0.019,0.97,-1.785,1.876,0.006,0.008,29241.0,11816.0,1.0
theta[54033],0.111,0.922,-1.567,1.926,0.006,0.008,23646.0,12646.0,1.0
theta[54069],0.065,0.944,-1.74,1.819,0.006,0.008,24279.0,12077.0,1.0
theta[54013],0.008,0.971,-1.807,1.85,0.005,0.01,32311.0,11203.0,1.0
theta[54065],0.196,0.968,-1.615,1.996,0.006,0.008,23011.0,12228.0,1.0
theta[54081],0.427,0.914,-1.321,2.119,0.008,0.007,14087.0,11666.0,1.0
theta[54079],0.031,0.931,-1.764,1.768,0.006,0.008,24283.0,12364.0,1.0
theta[54001],-0.09,0.976,-1.97,1.659,0.006,0.009,25510.0,12436.0,1.0
theta[54047],-0.109,0.964,-1.841,1.779,0.006,0.008,29939.0,12223.0,1.0
theta[54099],0.224,0.934,-1.511,2.008,0.007,0.008,19590.0,12524.0,1.0
theta[54035],-0.267,0.955,-2.013,1.546,0.006,0.008,23475.0,12048.0,1.0
theta[54089],-0.225,0.975,-2.112,1.572,0.006,0.008,25285.0,11308.0,1.0
theta[54025],0.055,0.928,-1.703,1.764,0.006,0.008,27432.0,13061.0,1.0
theta[54057],-0.027,0.965,-1.906,1.728,0.006,0.009,27352.0,11468.0,1.0
theta[54041],0.014,0.974,-1.863,1.81,0.006,0.008,29562.0,11543.0,1.0
theta[54075],-0.158,0.998,-2.001,1.732,0.006,0.009,30181.0,11511.0,1.0
theta[54103],0.061,0.955,-1.727,1.845,0.005,0.009,31065.0,11249.0,1.0
theta[54105],-0.133,0.987,-2.027,1.663,0.006,0.01,31744.0,11025.0,1.0
theta[54015],0.1,0.969,-1.658,1.98,0.006,0.008,27292.0,12374.0,1.0
theta[54061],0.003,0.958,-1.795,1.812,0.006,0.008,22929.0,11881.0,1.0
theta[54039],-0.197,0.9,-1.896,1.489,0.006,0.007,19528.0,11999.0,1.0
theta[54077],-0.414,0.98,-2.263,1.428,0.007,0.009,18428.0,11400.0,1.0
theta[54085],-0.121,0.99,-2.007,1.743,0.006,0.009,32071.0,10958.0,1.0
theta[54043],-0.146,0.946,-1.94,1.597,0.006,0.008,23692.0,12438.0,1.0
theta[54007],0.259,0.988,-1.605,2.09,0.006,0.008,26137.0,11433.0,1.0
theta[54005],0.567,0.984,-1.269,2.417,0.008,0.008,14359.0,11923.0,1.0
theta[54109],0.15,0.945,-1.685,1.864,0.006,0.008,28238.0,11881.0,1.0
theta[54083],-0.436,1.0,-2.387,1.404,0.007,0.009,18147.0,10669.0,1.0
theta[54055],0.107,0.922,-1.736,1.738,0.006,0.008,22837.0,12119.0,1.0
theta[54097],-0.093,0.973,-1.946,1.724,0.006,0.009,27341.0,11163.0,1.0
theta[54003],0.23,0.97,-1.554,2.055,0.007,0.008,19357.0,11999.0,1.0
theta[54019],0.125,0.921,-1.655,1.825,0.006,0.008,25238.0,12486.0,1.0
