,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u[54023],-0.139,0.478,-1.05,0.74,0.006,0.004,5857.0,8595.0,1.0
u[54027],0.507,0.52,-0.463,1.495,0.006,0.004,7578.0,8642.0,1.0
u[54009],0.074,0.767,-1.374,1.516,0.011,0.009,5340.0,5734.0,1.0
u[54031],-0.095,0.599,-1.225,1.028,0.008,0.005,6273.0,8930.0,1.0
u[54049],-1.417,0.553,-2.53,-0.445,0.008,0.006,5525.0,5504.0,1.0
u[54059],0.573,0.569,-0.474,1.647,0.009,0.005,4378.0,6952.0,1.0
u[54029],-0.578,0.918,-2.306,1.136,0.011,0.01,6989.0,7301.0,1.0
u[54051],-0.775,0.69,-2.112,0.472,0.008,0.006,7184.0,8787.0,1.0
u[54067],0.039,0.457,-0.83,0.887,0.004,0.004,12287.0,11304.0,1.0
u[54093],-0.808,0.573,-1.894,0.258,0.007,0.005,6792.0,7688.0,1.0
u[54095],-0.44,0.619,-1.604,0.72,0.006,0.004,11009.0,12436.0,1.0
u[54087],0.105,0.478,-0.809,0.991,0.005,0.004,9528.0,11077.0,1.0
u[54091],-1.1,0.537,-2.078,-0.076,0.007,0.005,5669.0,6131.0,1.0
u[54107],-0.099,0.442,-0.903,0.771,0.005,0.004,8958.0,9343.0,1.0
u[54021],-0.351,0.544,-1.306,0.735,0.005,0.004,11615.0,11529.0,1.0
u[54053],0.43,0.563,-0.611,1.513,0.006,0.005,8627.0,10047.0,1.0
u[54063],0.212,0.71,-1.156,1.517,0.006,0.006,12144.0,11857.0,1.0
u[54073],-0.363,0.63,-1.547,0.823,0.006,0.005,11279.0,10254.0,1.0
u[54011],0.991,0.554,-0.09,2.002,0.007,0.005,6430.0,6883.0,1.0
u[54037],0.868,0.914,-0.86,2.563,0.013,0.011,5577.0,6283.0,1.0
u[54045],0.707,0.538,-0.331,1.687,0.007,0.005,5506.0,7024.0,1.0
u[54071],-0.381,0.581,-1.503,0.691,0.007,0.005,7382.0,8445.0,1.0
u[54033],-0.98,0.462,-1.858,-0.129,0.006,0.004,6073.0,6635.0,1.0
u[54069],-0.289,0.727,-1.607,1.118,0.01,0.007,5478.0,6091.0,1.0
u[54013],-0.046,0.478,-0.937,0.839,0.005,0.004,9997.0,10840.0,1.0
u[54065],1.189,0.701,-0.074,2.544,0.009,0.007,6849.0,8529.0,1.0
u[54081],0.794,0.439,-0.044,1.616,0.006,0.005,4928.0,5197.0,1.0
u[54079],0.572,0.478,-0.313,1.474,0.006,0.004,7235.0,8001.0,1.0
u[54001],-0.965,0.494,-1.948,-0.081,0.007,0.005,5758.0,6052.0,1.0
u[54047],0.648,0.665,-0.584,1.904,0.008,0.006,6211.0,8586.0,1.0
u[54099],0.966,0.597,-0.11,2.162,0.008,0.006,5248.0,5707.0,1.0
u[54035],0.054,0.444,-0.766,0.908,0.005,0.003,9674.0,11134.0,1.0
u[54089],0.331,0.508,-0.623,1.279,0.006,0.004,8087.0,9916.0,1.0
u[54025],0.151,0.469,-0.736,1.03,0.005,0.004,9615.0,10121.0,1.0
u[54057],0.004,0.585,-1.097,1.106,0.007,0.005,7187.0,8850.0,1.0
u[54041],-0.529,0.513,-1.49,0.435,0.005,0.004,10839.0,10880.0,1.0
u[54075],-0.451,0.628,-1.642,0.717,0.006,0.005,10568.0,11708.0,1.0
u[54103],-0.888,0.532,-1.871,0.119,0.006,0.004,6950.0,8780.0,1.0
u[54105],-0.131,0.499,-1.049,0.824,0.005,0.004,10352.0,10468.0,1.0
u[54015],0.213,0.481,-0.693,1.109,0.005,0.004,10179.0,10844.0,1.0
u[54061],-1.057,0.586,-2.137,0.064,0.007,0.005,6496.0,7456.0,1.0
u[54039],0.452,0.381,-0.28,1.15,0.005,0.003,6223.0,7011.0,1.0
u[54077],-1.063,0.529,-2.025,-0.036,0.007,0.005,5589.0,5854.0,1.0
u[54085],-0.306,0.475,-1.214,0.589,0.005,0.004,9682.0,10078.0,1.0
u[54043],0.692,0.465,-0.183,1.555,0.007,0.005,5043.0,5639.0,1.0
u[54007],0.037,0.493,-0.871,0.994,0.005,0.004,10102.0,10928.0,1.0
u[54005],1.058,0.504,0.105,1.998,0.007,0.005,4771.0,5342.0,1.0
u[54109],0.813,0.515,-0.15,1.781,0.008,0.005,4550.0,6242.0,1.0
u[54083],-0.858,0.479,-1.733,0.06,0.006,0.005,5690.0,5802.0,1.0
u[54055],0.774,0.514,-0.153,1.777,0.007,0.005,5546.0,6663.0,1.0
u[54097],-0.872,0.531,-1.893,0.11,0.006,0.004,8372.0,9941.0,1.0
u[54003],1.337,0.758,-0.017,2.791,0.011,0.009,5435.0,6675.0,1.0
u[54019],0.389,0.426,-0.41,1.186,0.005,0.004,8193.0,8801.0,1.0
v[54023],0.494,1.01,-1.45,2.34,0.008,0.009,15471.0,12280.0,1.0
v[54027],0.324,0.961,-1.535,2.081,0.007,0.008,16792.0,12217.0,1.0
v[54009],0.323,0.991,-1.519,2.182,0.008,0.008,15553.0,11437.0,1.0
v[54031],-0.112,0.969,-1.954,1.697,0.006,0.008,24959.0,12717.0,1.0
v[54049],-0.498,0.998,-2.345,1.409,0.01,0.008,10861.0,12023.0,1.0
v[54059],-0.294,0.964,-2.084,1.491,0.007,0.008,20277.0,11036.0,1.0
v[54029],-0.2,0.991,-2.039,1.679,0.007,0.008,20535.0,11866.0,1.0
v[54051],-0.125,0.966,-1.879,1.742,0.006,0.008,23495.0,11682.0,1.0
v[54067],-0.309,0.967,-2.111,1.498,0.007,0.008,18021.0,12354.0,1.0
v[54093],-0.078,0.982,-1.913,1.78,0.006,0.008,25797.0,10462.0,1.0
v[54095],0.067,0.988,-1.855,1.881,0.006,0.009,23997.0,11601.0,1.0
v[54087],-0.014,0.954,-1.842,1.753,0.006,0.008,23197.0,12458.0,1.0
v[54091],-0.028,0.957,-1.809,1.77,0.006,0.008,23634.0,12462.0,1.0
v[54107],0.085,0.932,-1.677,1.83,0.007,0.007,15866.0,12131.0,1.0
v[54021],-0.169,1.0,-1.95,1.823,0.007,0.009,22593.0,11580.0,1.0
v[54053],-0.071,0.952,-1.852,1.724,0.007,0.008,16805.0,12159.0,1.0
v[54063],-0.023,0.966,-1.844,1.771,0.006,0.009,26932.0,11813.0,1.0
v[54073],-0.091,0.981,-1.94,1.73,0.006,0.009,24149.0,11711.0,1.0
v[54011],0.42,1.008,-1.521,2.277,0.009,0.009,12166.0,11155.0,1.0
